						
						
	titulo	fonte	binario	motivo	autor	link
1	URGENTE: Nova vacina causa efeitos colaterais CHOCANTES em milhares de pessoas	Auto-impacto	farsa	"Uso de termos sensacionalistas: ""urgente"", ""chocante""; sem fonte confiável ou evidências verificáveis."	Não informado	
2	IMPACTANTE: Cientistas descobrem planeta habitável do tamanho da Terra dentro do nosso sistema solar	Rede social	farsa	"Título com termos sensacionalistas: ""impactante"". Afirmação improvável sem citação de estudos ou instituições científicas confiáveis."	Roberto Prado	
3	CHOCANTE: Celebridade famosa revela segredo que vai mudar TUDO	Notícias chocantes	farsa	"Uso de termo sensacionalista (""chocante"") e linguagem vaga, sem detalhes ou fontes verificáveis."	Tatiane Alves	
4	Todos os médicos estão escondendo o verdadeiro remédio contra o câncer					
 	Portal Segredo Revelado 	farsa	"Generalização exagerada ""todos os médicos"". Teoria conspiratória sem evidências ou fontes confiáveis."	Leandro Costa		
5	Você NUNCA mais vai precisar trabalhar com este método secreto	Gazeta da Esquina 	farsa	"Generalização exagerada: uso do termo ""NUNCA"" sem base ou fonte confiável."	Júnia Andrade	
6	Este truque funciona SEMPRE e muda sua vida em 24 horas	Revista Conspiração Total 	farsa	Generalização exagerada: uso do termo “SEMPRE” e promessa irreal. Fonte não confiável.	Não informado	
7	VOCÊ NÃO VAI ACREDITAR no que este político disse em rede nacional	Rede social	farsa	Apelo sensacionalista: uso de maiúsculas em excesso para gerar choque. Fonte é rede social, sem checagem jornalística.	Não informado	
8	CONFIRA AGORA a VERDADEIRA CURA para TODAS as doenças	Diário Sobrenatural 	farsa	Promessa impossível: alegação de cura universal em todas as doenças.	Marcelo Dantas	
9	MILAGRE! ESSA DIETA ELIMINA 20KG EM UMA SEMANA	Rede social	farsa	Uso de maiúsculas em excesso. Promessa impossível: perda de peso extrema em curto prazo. Fonte é rede social, sem evidência ou checagem.	Paula Ribeiro	
10	Pesquizadores descubriro nova cura milagroza para diabéte	Gazeta da Esquina 	farsa	"Erro ortográfico no título ""Pesquizadores"" e ""Milagroza"". Promessa de ""cura milagrosa"" sem dados cientificos e fonte sensacionalista"	Felipe Nogueira	
11	Essa noticia vai te deixa de boca abertaaa	Observatório do Boato 	farsa	Exagero sensacionalista: título vago e erro gramatical. Publicado em blog sem confiabilidade jornalística.	Sérgio Campos	
12	Políticos escondem verdades que ninguem sabe ta sabendo	Blog Verdade Absoluta da Tia Maria 	farsa	Conteúdo conspiratório: alegação vaga e sem evidências. Fonte é blog pessoal, sem credibilidade ou checagem.	Não informado	
13	Nova fruta cura todas as doenças em apenas 24 horas	Revista Conspiração Total 	farsa	Afirmação impossível: promessa de cura universal em prazo irreal. Publicado em revista conspiratória sem base científica.	Sérgio Campos	
