ID	URL	Fonte	Data	Motivo	Resumo	Título	Binário	Assunto	Autor
1	https://www.aosfatos.org/noticias/falso-lula-recusou-vacina-japonesa-contra-dengue/	Brasil Verdade	03/01/2024	Notícia falsa. A informação não foi publicada por nenhum órgão oficial, portal confiável ou agência de notícias conhecida. A linguagem apelativa e o tom emocional (#LulaGenocida) são opostos à postura neutra de fontes sérias. A falta de dados específicos e a acusação grave sem prova são fortes indícios de desinformação.	Presidente descartou a vacina japonesa contra a dengue para esperar a vacina nacional do Butantan, que só estará disponível em 2025. Detalhe: O Brasil está registrando números alarmantes de mortes por dengue. Já pode chamar o Lula de #Genocida?	Lula recusou vacina japonesa contra a dengue para esperar imunizante nacional.	FARSA	SAÚDE	Vinicius Torres
2	https://www.aosfatos.org/noticias/falso-app-celular-seguro-permite-governo-acessar-conteudo/	Jornal Livre do Povo	26/12/2023	Notícia falsa. A informação não foi divulgada por nenhuma fonte oficial do governo, como o Ministério da Justiça, e possui tom alarmista típico de desinformação. O aplicativo Celular Seguro tem função restrita a bloqueio de dispositivos roubados, conforme descrito em canais oficiais, sem acesso a mensagens ou conteúdo privado. A linguagem exagerada e a falta de links oficiais confirmam a intenção de enganar. Sempre consulte fontes diretas para verificar fatos.	ATENÇÃO MELHOR PERDER UM CELULAR DO QUE A SUA LIBERDADE. O aplicativo que o Governo Federal, mais precisamente o Ministério da Justiça, lançou no dia de ontem é, na verdade, uma armadilha para todos nós brasileiros de bem. O aplicativo passa a controlar todo o seu celular, inclusive todas as mensagens trocadas em redes sociais que você utiliza.	app Celular Seguro permite ao governo acessar conteúdo de aparelho	FARSA	SEGURANÇA	Não informado
3	https://noticias.uol.com.br/confere/ultimas-noticias/2023/12/15/e-falso-que-ministros-do-stf-recebem-mais-de-r-90-mil-de-vale-alimentacao.htm	Repórter Independente	15/12/2023	"Notícia falsa. O valor de R$ 90 mil para vale-alimentação é exorbitante e não corresponde a nenhum dado oficial do STF. Os gastos do Judiciário são publicamente divulgados em portais de transparência, e auxílios ministeriais seguem padrões legais (ex.: auxílio-moradia de R$ 5.297, valor unificado para todos os ministros). A fonte ""Repórter Independente"" não existe e a linguagem dramática e imprecisa (""sujeito"", ""regalias"") confirma a intenção de manipular. Consulte sempre fontes oficiais."	Esse sujeito tem um vale alimentação de 90 mil reais por mês. 11 mil reais de auxílio aluguel e direito a 220 funcionários ao seu dispor. Os 11 ministros do STF custam 700 milhões ao bolso dos brasileiros só com regalias.	Luís Roberto Barroso (presidente do STF) receba mais de R$ 90 mil de vale alimentação do STF	FARSA	POLÍTICA	Roberto Prado
4	https://www.aosfatos.org/noticias/falsa-foto-lula-dez-dedos-morreu-foi-substituido/	Jornal Livre do Povo	31/12/2024	Notícia falsa. A alegação é cientificamente incoerente e não possui qualquer embasamento em fontes confiáveis (médicas ou oficiais). Imagens públicas do presidente mostram mesma característica física, e a narrativa ignora evidências básicas de anatomia. A linguagem especulativa e sensacionalista confirma ser desinformação. Consulte veículos sérios para verificar fatos.	Circula nas redes uma imagem do presidente Lula onde ele aparece com cinco dedos em cada mão, levando alguns a especularem sobre uma possível substituição. A alegação sugere que fotos recentes mostrariam uma suposta anomalia anatômica.	Especialistas explicam fenômeno de regeneração humana após imagem de Lula gerar dúvidas.	FARSA	POLÍTICA	Tatiane Alves
5	https://www.boatos.org/religiao/projeto-de-lei-4257-2018-proibe-pregacoes-ou-que-se-fale-em-nome-de-deus.html	Fato Real	14/07/2022	"Notícia Falsa. A linguagem alarmista (""INADIMISSÍVEL!"") e a ausência de fontes oficiais são típicas de desinformação. O texto completo está disponível para consulta pública no site oficial da Câmara dos Deputados, onde qualquer pessoa pode verificar sua real finalidade. O Projeto de Lei 4257/2018 regula apenas o comércio em vias públicas (como ambulantes) e não faz qualquer menção a pregações religiosas ou proibições de falar o nome de Deus."	ATENÇÃO: Projeto de Lei 4257/2018 pode criminalizar pregações religiosas. O texto proposto por um deputado estadual pretende proibir a menção ao nome de Deus e a propagação do evangelho em espaços públicos. Isto é INADIMISSÍVEL!	Projeto de Lei 4257/2018 proíbe pregações ou que se fale em nome de Deus	FARSA	RELIGIÃO	Leandro Costa
6	https://www.boatos.org/saude/5-fake-news-sobre-a-vacina-que-previne-o-hpv.html	Diário brasileiro	28/10/2023	"Apesar de citar o portal ""Diário Brasileiro"", verifique que ele é um portal falso, ou seja uma fonte não conhecida deve sempre levantar suspeita. A notícia, portanto, apresenta sinais típicos de fake news: não menciona nenhum Órgão Oficial de saúde, usa termos vagos sem Informações Específicas (como dados, estudos ou porcentagens) e adota uma linguagem alarmista, com afirmações absolutas como “não há qualquer evidência”. Esses elementos indicam falta de confiabilidade e ajudam a identificar que a informação pode ser falsa."	Até o momento, a eficácia das vacinas contra o HPV na prevenção do câncer do colo de útero, não foi demonstrada, enquanto os riscos de vacinas ainda não foram completamente avaliados. Atuais práticas de imunização do HPV no mundo todo, com qualquer uma das duas vacinas contra o HPV parece ser nem justificadas por benefícios a saúde a longo prazo, nem economicamente viavel, e nem há qualquer evidência de que a vacina contra o HPV.	Vacina contra HPV não é eficaz e não serve para evitar o câncer de colo do útero.	FARSA	SAÚDE	Júnia Andrade
7	Minus	Observador Nacional	20/08/2025	Existe uma regra institucional e de política monetária que impede isso. Geralmente, o Banco Central do Brasil opta por figuras históricas, animais da fauna brasileira ou símbolos nacionais. Há também o fato de que não houve nenhum anúncio oficial – Notícias verdadeiras desse tipo são divulgadas pelo Banco Central do Brasil em seus canais oficiais e repercutidas na imprensa. Se fosse real, estaria em todos os jornais. Juntamente com o fato de que a nota de R$200 já existe (foi lançada em 2020), e o personagem estampado nela é o lobo-guará.	A mudança busca incluir grandes nomes como representantes, com destaque para nossa nova nota de 200 Reais que será representada por, ninguém mais, ninguém menos que o Rei ROBERTO CARLOS, também icluindo nomes como Pabllo Vittar	Banco Central do Brasil anuncia o novo visual das Cedulas Monetarias brasileiras	FARSA	ECONOMIA	Não informado
8	https://lupa.uol.com.br/jornalismo/2021/06/17/verificamos-mascaras-cerebro-oxigenio-doencas-neurodegenerativas/	Verdade Oculta	17/06/2021	Apesar de citar supostos argumentos médicos, verifique que não há referência a nenhum órgão oficial de saúde, o que deve sempre levantar suspeita. A notícia, portanto, apresenta sinais típicos de fake news: não utiliza fontes confiáveis, distorce informações científicas sobre o uso de máscaras, não traz dados ou estudos verificáveis como Informação Específica e adota uma Linguagem Alarmista, com frases absolutas como “vai ser muito tarde” e “o que foi perdido foi perdido”. Esses elementos indicam falta de confiabilidade e ajudam a identificar que a informação pode ser falsa.	“(…) quando a gente respira o ar que a gente exala, a gente necessariamente está criando uma deficiência de oxigênio no organismo e uma enxurrada de gás carbônico. Médica lembra que o cérebro é muito sensível à privação de oxigênio e as células nervosas, que são aquelas associadas à memória, às respostas emocionais e processamento espacial, não sobrevivem mais do que três minutos sem oxigênio. A cada três minutos com privação de oxigênio no cérebro, uma célula nervosa morre. Só que as células nervosas, elas não fazem as divisões celulares, ou seja, não se reproduzem mais, não se regeneram. Ou seja, quando o governo se permitir ser bonzinho e permitir que a gente volte a respirar, vai ser muito tarde. As células que morreram porque você está usando máscara achando que estava salvando vidas não serão regeneradas, o que foi perdido foi perdido (…)”	Máscaras privam o cérebro de oxigênio e causam doenças neurodegenerativas.	FARSA	SAÚDE	Não informado
9	https://www.boatos.org/entretenimento/faustao-morreu-em-agosto-de-2025.html	O Investigador	18/08/2025	Notícia falsa. Apesar de citar o portal “O Investigador”, não há qualquer divulgação em Fontes Confiáveis ou órgãos oficiais de comunicação, como emissoras de TV reconhecidas ou assessoria do apresentador. A manchete exagerada e alarmista, com expressões como “nosso eterno Faustão” e “não resistindo”, distorce o fato e induz pânico. Não existem Informações Específicas verificáveis, como datas ou comunicados oficiais, e a linguagem usada evidencia intenção de enganar. Sempre consulte fontes diretas e reconhecidas para confirmar notícias sobre personalidades públicas.	Apresentador Fausto Silva, conhecido nacionalmente como Faustão, morre em agosto de 2025!	“DOMINGO DE DESPEDIDA” FAUSTO SILVA NOSSO ETERNO FAUSTÃO ACABA DE NÃO RESISTINDO APÓS FALECER!!!	FARSA	CULTURA	Marcelo Dantas
10	https://cnn.noticia.pro/25902/comeca-alistamento-para-a-guerra-com-os-eua	Verdade Oculta	20/08/2025	Apesar de mencionar uma suposta fala do presidente americano, a notícia apresenta sinais claros de fake news. A tradução da frase “It will not be a world war, but it will be an economic war” para “Junte-se a nós pelo bem comum” está incorreta e distorce totalmente o sentido original. A fonte citada, “Verdade Oculta”, não é confiável, e não há menção a órgãos oficiais que confirmem os fatos. Faltam informações específicas e verificáveis, como dados ou documentos oficiais. A linguagem alarmista e apelativa reforça que a notícia não é confiável.	"Na eminência da guerra com os EUA, a preferência para alistamento é de jovens de até 30 anos que trabalham em Home Office, podendo alistar-se jovens de todos os países que tem como ideal comum o patriotismo e o amor pela América. O Presidente americano afirma: “It will not be a world war, but it will be an economic war”, ou seja, ""Junte-se a nós pelo bem comum"". Existe um lado certo e esse é o lado da América, apoiemos o nosso continente!"	Começa alistamento para guerra com EUA 	FARSA	POLÍTICA	Paula Ribeiro
